title,location
GITAM University Bangalore,"Karnataka, Bangalore"
Gokhale Centenary College Ankola,"Karnataka, Ankola"
Titus II Teachers College Tiruvalla,"Kerala, Tiruvalla"
Anand College of Education,"Gujarat, Anand"
JJMMC,"Madhya Pradesh, Agar"
ISL Engineering College Hyderabad,"Telangana, Hyderabad"
Magarpatta City Institute of Management and Technology Pune,"Maharashtra, Pune"
KLR Degree & PG College Khammam,"Telangana, Khammam"
Sangameshwar College Solapur,"Maharashtra, Solapur"
UIIT Shimla,"Himachal Pradesh, Shimla"
Vyas Dental College and Hospital Jodhpur,"Rajasthan, Jodhpur"
Phoolwati Institute of Law Bagpat,"Bihar, Arwal"
Biju Patnaik Institute of Information Technology and Management Studies Bhubaneswar,"Odisha, Bhubaneswar"
Shri JM Patel Arts and Smt MN Patel Commerce Mahila College Mehsana,"Gujarat, Mehsana"
Regional Ayurveda Institute for Fundamental Research Pune,"Maharashtra, Pune"
Shri MD Shah Mahila College of Arts & Commerce Mumbai,"Maharashtra, Mumbai"
Smt CC Mahila Arts and Sheth CN Commerce College Mehsana,"Gujarat, Mehsana"
The Aaryan College of Education Rohtak,"Haryana, Rohtak"
Patna University,"Bihar, Patna"
Butler Polytechnic Vadodara,"Gujarat, Vadodara"
Mamata Medical College Khammam,"Telangana, Khammam"
Gian Sagar Medical College & Hospital Patiala,"Punjab, Patiala"
Arunodaya University Itanagar,"Arunachal Pradesh, Itanagar"
IIM Calcutta,"West Bengal, Kolkata"
Avanthi Degree & P.G. College Hyderabad,"Telangana, Hyderabad"
SIOM Nashik,"Maharashtra, Nashik"
College of Fire Technology Ahmedabad,"Gujarat, Ahmedabad"
College of Nursing Vadodara,"Gujarat, Vadodara"
Tirhut College of Agriculture Muzaffarpur,"Bihar, Muzaffarpur"
Janseva Shikshan Mandal's Arts Commerce and Science College Thane,"Maharashtra, Thane"
DIAT Pune,"Maharashtra, Pune"
ICFAI University Baddi,"Himachal Pradesh, Baddi"
Smt NC Gandhi and Smt BV Gandhi Mahila Arts and Commerce College Bhavnagar,"Gujarat, Bhavnagar"
Government Engineering College Bhavnagar,"Gujarat, Bhavnagar"
Sree Saraswathi Thyagaraja College Pollachi,"Tamil Nadu, Pollachi"
Kalyani Girls Degree College Etah,"Uttar Pradesh, Etah"
Rajah Muthiah Medical College & Hospital Annamalai,"Tamil Nadu, Chidambaram"
Sri Subbaraya & Narayana College Guntur,"Andhra Pradesh, Guntur"
Ch RR Memorial College of Education Sirsa,"Haryana, Sirsa"
NIT Calicut,"Kerala, Kozhikode"
Amity School of Engineering & Technology Noida,"Uttar Pradesh, Noida"
Diamond Harbour Government Polytechnic South 24 Parganas,"West Bengal, South 24 Parganas"
NMKRV College for Women Bangalore,"Karnataka, Bangalore"
DAV University Jalandhar,"Punjab, Jalandhar"
IIST [Indore Institute of Science and Technology] Indore,"Madhya Pradesh, Indore"
IMS Noida,"Uttar Pradesh, Noida"
"Acharya NG Ranga Agricultural University, Agricultural College Bapatla Guntur","Andhra Pradesh, Guntur"
"Shri Ram Institute of Hotel Management, Dehradun","Uttarakhand, Dehradun"
ZCOER,"Maharashtra, Narhe"
Chaudhary Maniram College of Education Hanumangarh,"Rajasthan, Hanumangarh"
RC Patel Institute of Pharmaceutical Education and Research Shirpur,"Maharashtra, Shirpur"
Janata College of Education Chandrapur,"Maharashtra, Chandrapur"
Jaipur Institute of Biotechnology,"Rajasthan, Jaipur"
RTC Institute of Technology Ranchi,"Jharkhand, Ranchi"
Sri Adhisankarar College of Education Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
IIMT Institute of Engineering and Technology Meerut,"Uttar Pradesh, Meerut"
Swasthya Kalyan Group Jaipur,"Rajasthan, Jaipur"
GADVASU,"Punjab, Ludhiana"
Ujjain Engineering College,"Madhya Pradesh, Indore"
V. L. College of Pharmacy Raichur,"Karnataka, Raichur"
Sanjivani College of Engineering Ahmednagar,"Maharashtra, Ahmednagar"
MAM School of Architecture Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
Shree Shiv Basav Jyoti Homoeopathic Medical College Hospital and Research Centre Belgaum,"Karnataka, Belgaum"
Farooqia Dental College Mysore,"Karnataka, Mysore"
Kaviyattu College of Education Pirappancode Thiruvananthapuram,"Kerala, Thiruvananthapuram"
Unnati Management College Mathura,"Uttar Pradesh, Mathura"
VSB Engineering College Karur,"Tamil Nadu, Karur"
Sri Hasanamba Dental College and Hospital Hassan,"Karnataka, Hassan"
Mar Thoma College of Science & Technology Ayur Kollam,"Kerala, Kollam"
Indian Culinary Institute Noida,"Uttar Pradesh, Noida"
Imperial School of Agri Business Greater Noida,"Uttar Pradesh, Noida"
VIIT,"Maharashtra, Pune"
Kumaun University SSJ Campus Almora,"Uttarakhand, Almora"
Sahodaran Ayyappan Smaraka S.N.D.P. Yogam College Konni Pathanamthitta,"Kerala, Pathanamthitta"
Hindu College Moradabad,"Uttar Pradesh, Moradabad"
All Saints College of Education Kanyakumari,"Tamil Nadu, Kanyakumari"
IBS Gurgaon,"Haryana, Gurgaon"
Shri Balwant Institute of Technology Sonepat,"Haryana, Sonepat"
Central College of Engineering and Management Raipur,"Chhattisgarh, Raipur"
RPGMC Tanda,"Himachal Pradesh, Kangra"
Eram Unani Medical College and Hospital Lucknow,"Uttar Pradesh, Lucknow"
DK Shinde College of Education Kolhapur,"Maharashtra, Kolhapur"
Bhaskar Medical College Hyderabad,"Telangana, Hyderabad"
Velammal College of Engineering and Technology Madurai,"Tamil Nadu, Madurai"
VM Salgaocar College of Law Panji,"Goa, Panji"
Sadanlal Savaldas Khanna Girls Degree College Allahabad,"Uttar Pradesh, Allahabad"
Aditya College of Design Studies Mumbai,"Maharashtra, Mumbai"
Dibrugarh University,"Assam, Dibrugarh"
WBUHS,"West Bengal, Salt Lake"
Vardhaman College of Engineering Hyderabad,"Telangana, Hyderabad"
Dhruva College of Management Hyderabad,"Telangana, Hyderabad"
Sri Sai College of Dental Surgery Vikarabad,"Telangana, Vikarabad"
Pt Sujan Singh Degree College (Institute of Advanced Management and Technology) Meerut,"Uttar Pradesh, Meerut"
Darsh College of Education Sonepat,"Haryana, Sonepat"
Govt Degree College Women Srikakulam,"Andhra Pradesh, Srikakulam"
Piloo Mody College of Architecture Cuttack,"Odisha, Cuttack"
Dayanand Women's Training College Dehradun,"Uttarakhand, Dehradun"
Om Sai Para Medical College Ambala,"Haryana, Ambala"
"Bharati Vidyapeeth University, Homoeopathic Medical College Pune","Maharashtra, Pune"
Dayawanti Memorial College of Education Gurgaon,"Haryana, Gurgaon"
Brahmdevdada Mane Institute of Technology Solapur,"Maharashtra, Solapur"
Uma Mahila Shikshak Prashikshan Mahavidyalay Dausa,"Rajasthan, Dausa"
Government Engineering College Banaskantha,"Gujarat, Ahmedabad"
Government College of Engineering Chennai,"Tamil Nadu, Chennai"
Xavier's Institute of Computer Application Ahmedabad,"Gujarat, Ahmedabad"
Maharaja Engineering College For Women Perundurai,"Tamil Nadu, Perundurai"
Gaya College of Engineering,"Andhra Pradesh, Krishna"
Rajshree Teachers Training Institute Bareilly,"Uttar Pradesh, Bareilly"
SGS Tuli College of Education Nagpur,"Maharashtra, Nagpur"
Ambookan Ittoop Memorial (AIM) College of Law Thrissur,"Kerala, Thrissur"
Mahakavi Bharathiyar College of Engineering and Technology Thiruvallur,"Tamil Nadu, Thiruvallur"
