id,title,image
26859,Arunai Engineering College Tiruvannamalai,
28128,"KR Mangalam University, School of Legal Studies",
13801,Gopal Narayan Singh University,
31076,University Institute of Law and Management Studies Gurgaon,
26860,PSG College of Nursing Coimbatore,
29742,Vaugh Institute of Agricultural Engineering And Technology Allahabad,
30958,Karnataka Samskrit University Bangalore,
26862,Christian College Of Nursing Dindigul,
34281,"CIIIH , Ahmedabad",
31310,Government Polytechnic Himmatnagar,
32655,Arihant College of Nursing Haridwar,
26865,KKC College of Engineering and Technology Jayamkondacholapuram,
34372,G H Raisoni International Skill Tech University Pune,
22364,Swami Dayananda College of Arts and Science Manjakkudi Thiruvarur,
26867,Nachiappa Swamigal Arts and Science College Koviloor Sivaganga,
30726,ISME School of Management & Entrepreneurship Mumbai,
31311,Government Polytechnic Waghai,
30035,Shadan Degree College For Women Hyderabad,
33623,Ballari Business College Bellary,
25787,CMREC,
26518,"Directorate of Distance Education, Devi Ahilya Vishwavidyalaya Indore",
31313,"New Institute of Technology, Kolhapur",
31314,Government Polytechnic Ratnagiri,
26868,Government Arts College for Women Krishnagiri,
31315,Shri Ram Polytechnic Muzaffarnagar,
26869,NGP Institute of Technology,
26870,Ayurveda College Sulur Coimbatore,
26872,Best Dental Science College Madurai,
34222,Hyderabad Presidency Degree and PG College,
33894,Chandra College of Pharmacy Gorakhpur,
31318,Jalpaiguiri Government Polytechnic College Jalpaiguri,
31305,Sapphire Group of Institutions Indore,
26873,KMCH College of Occupational Therapy Coimbatore,
26876,Nandha College and School of Nursing Erode,
31321,Sree Narayana Polytechnic College Kollam,
33775,Basudev Degree College Lucknow,
26878,KMCH College of Pharmacy Coimbatore,
29875,ISBR College Bangalore,
31323,Central Polytechnic College Thiruvananthapuram,
31324,Government Polytechnic Tumkur,
29880,Herbarium Institute of International Hotel Studies New Delhi,
31325,G V Acharya Polytechnic Karjat,
26999,Lotus Bausch & Lomb Institute of Optometry Coimbatore,
30497,Radha Govind University Ramgarh,
20683,Govind Ballabh Pant Engineering College Garhwal,
31327,Jhargram Government Industrial Training Institute,
29881,RIG Institute of Hospitality and Management New Delhi,
30844,Vivekanand Education Society's College of Architecture Mumbai,
30968,Bengaluru City University,
26883,"Madras Medical College, College Of Nursing Chennai",
31316,Government Polytechnic Hisar,
26552,Government Medical College Kannur,
26884,Bharathi Women's Arts & Science College Kallakurichi,
31328,Rajeev Gandhi Memorial Teacher's Training College Dhanbad,
26886,Bharathidasan School of Business Ellispettai Erode,
33663,Christ University Bangalore (Yeshwanthpur Campus),
31330,Arambagh Government Polytechnic,
26887,White Memorial College of Physiotherapy Attoor,
26888,Bilroth College Of Nursing Maduravoyal,
33665,Shri Davara University Raipur,
33831,SVM College of Nursing Rohtak,
26891,Bishop Ambrose College Ramanathapuram,
30163,Fostiima Business School New Delhi,
31331,Shri Vaishnav Polytechnic College Indore,
34607,JagadGuru Kripalu University,
31332,Chandauli Polytechnic,
32784,Nazarene Nurses Training College Washim,
26892,Devendrar College Of Physiotherapy Tirunelveli,
31333,S N Mudbidri Polytechnic Mangalore,
17847,Dr. Padiyar Memorial Homoeopathic Medical College Chottanikkara Ernakulam,
26893,Rev. Jacob Memorial Christian College Dindigul,
31335,Premlila Vithaldas Polytechnic Mumbai,
27972,HCMSK College of Education Raichur,
14407,Azad College Of Engineering & Technology Hyderabad,
26897,"Padmasree College of Nursing, Masilamani Nagar Kanchipuram",
31336,Model Polytechnic College Idukki,
25678,PWS College of Arts & Commerce Nagpur,
26898,RVS College Of Nursing Kannampalayam Coimbatore,
20718,Gwalior Institute of Technology and Science,
26899,NIEPMD,
29916,NMIMS School of Design Mumbai,
26900,Dhanalakshmi Srinivasan College Nursing Perambalur,
19524,GMC Surat,
30491,Netaji Subhas University Jamshedpur,
33852,Gyanodaya Degree College Lucknow,
26901,Revathi College Of Nursing Tiruppur,
29906,"Department of Business Administration, Tezpur University",
31342,MGM Polytechnic College Ernakulam,
26903,Karpaga Vinayaga College of Nursing Maduranthakam,
31345,GIET Polytechic Bhubaneswar,
34428,Satya Sai Nursing Research Institute,
26904,"Padmavani Arts & Science College for Women, Kottagoundampatti Salem",
26907,National Institute of Management Studies Karapakkam Chennai,
31346,Mehr Chand Polytechnic College Jalandhar,
20737,HIT Kolkata,
31595,Gola Polytechnic,
29910,Satyam College of Education Noida,
31347,Government Polytechnic Nizamabad,
33860,Vinayaka Mission’s School of Economics & Public Policy Chennai,
31559,Buddha Polytechnic Institute Gaya,
20732,Haryana Institute of Engineering and Technology Kaithal,
33856,Imperial Institute of Management and Technical Council New Delhi,
26908,Karpaga Vinayaga Institute of Dental Sciences Maduranthakam,
31349,Government Industrial Training Institute Gudha Jhajjar,
20733,Haryana Engineering College Yamuna Nagar,
31350,NMIMS School of Law Hyderabad,
34445,Nyruthi Arts and Science College,
26911,S.A. Raja College of Pharmacy Vadakankulam Tirunelveli,
31351,Government Polytechnic Amritsar,
31353,Govt. Polytechnic Kangra,
32785,Droan College of Nursing Udham Singh Nagar,
26916,Dhanvantri College Of Nursing Namakkal,
30538,Khyati Institute of Science Ahmedabad,
31356,Government Polytechnic College Shahjahanpur,
26917,Nazareth Margoschis College Pillayanmanai Thoothukkudi,
26919,Government Arts College Kulithalai,
26922,Government Arts College (Autonomous) Coimbatore,
14450,Krishna’s Vikash Institute of Pharmaceutical Sciences and Research Raipur,
26923,SRS College of Engineering and Technology Salem,
29921,NSHM Knowledge Campus Durgapur,
31357,B.D.M. College of Nursing Jhajjar,
30454,"Faculty of Basic Sciences, Shoolini University Solan",
31359,PMV Polytechnic Mathura,
32824,Vivekananda Institute of Medical Sciences Kolkata,
26925,Periyar Arts College Cuddalore,
32790,MNR University Hyderabad,
33886,Dr. Krishna Gopal Dwivedi Ayurvedic Medical College and Hospital Jhansi,
31360,Smt B. Seetha Polytechnic Bhimavaram,
25738,Balaji Engineering College Junagadh,
26932,Kongunadu College of Nursing Coimbatore,
31361,S.G. M. Government Polytechnic Abdullahpurmet Hyderabad,
31362,Sanjay Gandhi Polytechnic Bellary,
26937,Nehru Institute of Information Technology and Management Coimbatore,
26938,SACS MAVMM Engineering College Madurai,
31363,Santosh N Darade Polytechnic Babhulgaon,
31014,Amrutvahini Polytechnic Ahmednagar,
20747,Hindustan Institute of Maritime Training Chennai,
31364,S.Thangapazham Polytechnic College Tirunelveli,
26940,Shri Shankarlal Sundarbai Shasun Jain College for Women Chennai,
26620,College of Nursing Thalassery Kannur,
31367,Kalaniketan Polytechnic College Jabalpur,
33909,JMD Institute Of Nursing Gandhinagar,
26941,Government Arts College (Autonomous) Kumbakonam,
31368,Bhaktavatsalam Polytechnic College Kanchipuram,
30985,SLATE by CRESTA Mysore,
31372,Ludhiana Polytechnic College,
26944,Sindhi College,
34606,DSIFD Mumbai,
26945,Pioneer Kumaraswamy College Nagercoil,
26783,E.G.S.Pillay College of Pharmacy Nagapattinam,
31373,K.D.R. Government Polytechnic Wanaparthy Mahabubnagar,
20763,IIMT Engineering College Meerut,
29925,Mansarovar Ayurvedic Medical College Bhopal,
31378,Government Polytechnic Dwarahat Almora,
14755,Nilachal Polytechnic Bhubaneswar,
26952,Government Sivagangai Medical College and Hospital,
31379,North Calcutta Polytechnic Kolkata,
30807,International Institute of Fashion Design Vashi,
31380,Asansol Institute of Engineering and Management Polytechnic,
26764,Divine Institute of Media Science Muringoor,
31390,Satara Polytechnic,
20764,IILM University Greater Noida,
26953,Sir Theagaraya College Chennai,
31382,Government Polytechnic College Neyyattinkara,
31385,Shree Niranjana Swamy Polytechnic Mangalore,
31388,AANM & VVRSR Polytechnic,
27772,Symbiosis International University Nashik,
30286,Gateway School of Business Sonepat,
31389,SJPN Trust's Polytechnic Belgaum,
20783,JSPM's Imperial College of Engineering and Research Pune,
32899,Welingkar Online Mumbai,
26954,Sankaralingam Bhuvaneswari College Of Pharmacy Sivakasi,
26955,Ponnaiyah Ramajayam Engineering College Thanjavur,
31392,Adyapeath Annada Polytechnic College Kolkata,
19526,GMC Amritsar,
26956,Government Unani Medical College Chennai,
31393,Al Kabir Polytechnic,
26785,Khansa Women's College For Advance Studies Kasaragod,
31395,Government VISL S J Polytechnic Bhadravathi,
26803,K.C.S. Kasi Nadar College of Arts and Science Chennai,
31396,AlAzhar Polytechnic College Thodupuzha,
26958,Sivagamiammal College of Arts & Science Krishnagiri,
26959,Sara Nursing College Dharapuram,
26069,"VKR, VNB & AGK College of Engineering Eluru",
29992,Avidus Academy of Management Chennai,
20793,Indiana Institute of Engineering and Information Technology Gorakhpur,
26961,Government Villupuram Medical College and Hospital,
26963,"Pope's College, Sawyerpuram Thoothukudi",
31329,Government Polytechnic Rajkot,
19529,GMC Jammu,
31398,Aries Polytechnic College Palakkad,
28812,Bansal Institute Of Research Technology & Science Bhopal,
26675,Paramekkavu College Of Arts & Science Thrissur,
26967,Prahar School of Architecture Coimbatore,
26968,Lady Doak College Madurai,
31399,Industrial Training Institute Cuttack,
27725,Government First Grade College for Women Maddur,
34001,IMJ Institute of Science & Commerce Kundapura,
20802,Indo Global College of Engineering Mohali,
26973,Nehru Institute of Management studies Coimbatore,
31764,Mauli College of Pharmacy Udgir,
31401,Baruipur Government Polytechnic Kolkata,
28445,"Vishwakarma College of Arts, Commerce & Science Pune",
29998,Angappa College of Arts and Science Coimbatore,
26975,Nehru Nursing College Tirunelveli,
33836,Vivekanand Paramedical & Nursing College Gaya,
34035,MS PU & Degree College Bangalore,
31403,Basirhat Government Polytechnic College Bankura,
20810,Infant Jesus College of Engineering Thoothukudi,
26976,Imayam College of Arts and Science Thuraiyur,
29999,"DMIHER, Centre For Distance and Online Education Wardha",
26977,"Sree Ayyappa College for Women, Chunkankadai Nagercoil",
20813,Info Institute of Engineering Coimbatore,
31404,Canning II Government Industrial Training Institute,
26978,SRC Trichy,
31405,AnjumanIIslam's A. R. Kalsekar Polytechnic Mumbai,
29944,Amity Global Business School Ahmedabad,
34208,Vivekananda Global University collaborating with NIAT,
26979,Indira College of Nursing Thiruvallur,
27776,Bokaro Steel City College,
